Region,Year,Quarter,AACI
EN,1989,4,0.38779046
EN,1990,1,0.980079062
EN,1990,2,3.222319759
EN,1990,3,0.166461482
EN,1990,4,-0.478242825
EN,1991,1,1.383680597
EN,1991,2,-0.202367908
EN,1991,3,0.868172646
EN,1991,4,-1.777292751
EN,1992,1,-0.230725544
EN,1992,2,-1.862822534
EN,1992,3,0.868172646
EN,1992,4,-0.478242825
EN,1993,1,-1.138828999
EN,1993,2,0.316524163
EN,1993,3,-1.003057125
EN,1993,4,-0.622581706
EN,1994,1,-0.432526312
EN,1994,2,1.146751476
EN,1994,3,-1.704768289
EN,1994,4,2.264195909
EN,1995,1,-1.845131685
EN,1995,2,0.212745749
EN,1995,3,0.634268925
EN,1995,4,-0.045226183
EN,1996,1,1.181879829
EN,1996,2,-1.447708877
EN,1996,3,-0.932886009
EN,1996,4,0.589864893
EN,1997,1,-0.826037809
EN,1997,2,0.461813943
EN,1997,3,-1.833415336
EN,1997,4,-1.257672781
EN,1998,1,-0.997568461
EN,1998,2,0.866549758
EN,1998,3,0.833087088
EN,1998,4,0.315621019
EN,1999,1,0.374676759
EN,1999,2,0.65899293
EN,1999,3,1.055295623
EN,1999,4,-0.853523915
EN,2000,1,-1.330539728
EN,2000,2,-0.046700286
EN,2000,3,0.061204807
EN,2000,4,-2.181441617
EN,2001,1,0.637017757
EN,2001,2,-0.316524163
EN,2001,3,1.651750113
EN,2001,4,0.243451579
EN,2002,1,1.585481364
EN,2002,2,-0.565592357
EN,2002,3,0.189851854
EN,2002,4,0.820807102
EN,2003,1,-0.886578039
EN,2003,2,0.077833811
EN,2003,3,0.645964111
EN,2003,4,1.022881535
EN,2004,1,-0.0087447
EN,2004,2,-0.036322445
EN,2004,3,-0.675591915
EN,2004,4,0.690902109
EN,2005,1,0.606747641
EN,2005,2,0.067455969
EN,2005,3,-0.45338338
EN,2005,4,0.127980474
EN,2006,1,0.556297449
EN,2006,2,-0.275012797
EN,2006,3,-2.09070943
EN,2006,4,1.369294849
EN,2007,1,-1.875401801
EN,2007,2,-0.129723018
EN,2007,3,1.020210065
EN,2007,4,0.315621019
