Region,Year,Quarter,AACI
CS,2015,1,-0.501803711
CS,2015,2,1.084559478
CS,2015,3,-0.003691713
CS,2015,4,0.541755648
CS,2016,1,-0.167320385
CS,2016,2,2.998812673
CS,2016,3,1.657045393
CS,2016,4,-0.475048931
CS,2017,1,5.449130417
CS,2017,2,1.275482784
CS,2017,3,0.724017367
CS,2017,4,2.17131022
CS,2018,1,1.805041957
CS,2018,2,0.961512472
CS,2018,3,0.452117983
CS,2018,4,0.404353854
CS,2019,1,2.49046991
CS,2019,2,2.889112805
CS,2019,3,0.20370138
CS,2019,4,1.580412257
CS,2020,1,4.894334096
CS,2020,2,-0.196611603
CS,2020,3,-0.016319824
CS,2020,4,0.779906441
CS,2021,1,0.502315407
CS,2021,2,-0.255888221
CS,2021,3,0.583124805
CS,2021,4,-0.531626042
EN,1981,1,-0.349887778
EN,1981,2,-0.413135483
EN,1981,3,0.044814772
EN,1981,4,-0.234408713
EN,1982,1,0.478359955
EN,1982,2,-0.629548572
EN,1982,3,-0.597953066
EN,1982,4,-0.351667456
EN,1983,1,-0.169164519
EN,1983,2,0.040228928
EN,1983,3,-0.224469832
EN,1983,4,0.207690957
EN,1984,1,-0.643218449
EN,1984,2,-0.629548572
EN,1984,3,-0.597953066
EN,1984,4,-0.651380135
EN,1985,1,-0.405841803
EN,1985,2,-0.379878878
EN,1985,3,-0.530682053
EN,1985,4,-0.651380135
EN,1986,1,-0.317534656
EN,1986,2,0.158596497
EN,1986,3,0.254983563
EN,1986,4,-0.453544106
EN,1987,1,0.034451503
EN,1987,2,-0.232541843
EN,1987,3,-0.451511455
EN,1987,4,-0.379906533
EN,1988,1,-0.393410774
EN,1988,2,-0.462624989
EN,1988,3,0.230723952
EN,1988,4,0.282486618
EN,1989,1,-0.647808746
EN,1989,2,-0.244487368
EN,1989,3,-0.292133705
EN,1989,4,-0.325683454
EN,1990,1,-0.243984697
EN,1990,2,-0.013769841
EN,1990,3,-0.399280071
EN,1990,4,-0.114726911
EN,1991,1,0.127925766
EN,1991,2,0.208591169
EN,1991,3,0.738054293
EN,1991,4,0.269285888
EN,1992,1,0.020693282
EN,1992,2,-0.629548572
EN,1992,3,-0.551999475
EN,1992,4,-0.353233933
EN,1993,1,-0.582052366
EN,1993,2,-0.081899514
EN,1993,3,0.692220354
EN,1993,4,0.061988545
EN,1994,1,0.974308675
EN,1994,2,-0.333930447
EN,1994,3,-0.597953066
EN,1994,4,0.829950871
EN,1995,1,-0.040740407
EN,1995,2,1.067512392
EN,1995,3,0.239262654
EN,1995,4,-0.156216153
EN,1996,1,-0.339628206
EN,1996,2,0.638470866
EN,1996,3,-0.054071794
EN,1996,4,0.446385653
EN,1997,1,0.064869178
EN,1997,2,-0.425444214
EN,1997,3,-0.597953066
EN,1997,4,-0.333625813
EN,1998,1,0.488697506
EN,1998,2,2.229733867
EN,1998,3,0.306965892
EN,1998,4,-0.216807321
