Region,Year,Quarter,AACI
MN,1987,1,0.372447941
MN,1987,2,0.348853815
MN,1987,3,-0.154061488
MN,1987,4,-0.206104876
MN,1988,1,-0.131912147
MN,1988,2,-0.017020225
MN,1988,3,-0.919347754
MN,1988,4,1.002923733
MN,1989,1,0.452736361
MN,1989,2,-0.131527511
MN,1989,3,-0.020869652
MN,1989,4,-0.643643678
MN,1990,1,0.059221362
MN,1990,2,-0.588940198
MN,1990,3,0.028242089
MN,1990,4,0.482260825
MN,1991,1,0.25257803
MN,1991,2,-0.588940198
MN,1991,3,0.179264383
MN,1991,4,-0.208182124
MN,1992,1,-0.278971002
MN,1992,2,-0.060830718
MN,1992,3,-0.72143743
MN,1992,4,0.051313409
MN,1993,1,-0.366068139
MN,1993,2,0.027151763
MN,1993,3,-0.474049526
MN,1993,4,-0.643643678
MN,1994,1,0.387820539
MN,1994,2,-0.338815731
MN,1994,3,0.5933348
MN,1994,4,0.018057776
MN,1995,1,-0.019001263
MN,1995,2,-0.283969052
MN,1995,3,-0.314610134
MN,1995,4,0.155929486
MN,1996,1,-0.75633057
MN,1996,2,0.016623601
MN,1996,3,0.761128909
MN,1996,4,-0.20927752
MN,1997,1,0.292201909
MN,1997,2,0.194914524
MN,1997,3,0.226475012
MN,1997,4,-0.203907441
MN,1998,1,-0.779395079
MN,1998,2,-0.624888197
MN,1998,3,0.424593069
MN,1998,4,-0.643643678
MN,1999,1,-0.36741238
MN,1999,2,0.887218522
MN,1999,3,1.587157936
MN,1999,4,-0.421359426
MN,2000,1,-0.175763865
MN,2000,2,1.816660802
MN,2000,3,-0.264315883
MN,2000,4,1.394192409
MN,2001,1,0.05659436
MN,2001,2,-0.839064665
MN,2001,3,-0.281050186
MN,2001,4,-0.261430133
MN,2002,1,-0.361135754
MN,2002,2,0.656901585
MN,2002,3,0.680383352
MN,2002,4,-0.394503605
MN,2003,1,1.051225496
MN,2003,2,-0.53409352
MN,2003,3,-0.919347754
MN,2003,4,-0.040830551
MN,2004,1,-0.219890084
MN,2004,2,0.594106038
MN,2004,3,-0.586957821
MN,2004,4,-0.234746034
MN,2005,1,-0.505446411
MN,2005,2,0.634926281
MN,2005,3,-0.247181445
MN,2005,4,0.758125141
MN,2006,1,-0.262116309
MN,2006,2,1.171130799
MN,2006,3,0.890494594
MN,2006,4,0.618042342
MN,2007,1,0.741292733
MN,2007,2,1.04761205
MN,2007,3,1.305696488
MN,2007,4,0.406763291
MN,2008,1,0.298886426
MN,2008,2,0.769062548
MN,2008,3,0.519334569
MN,2008,4,0.278731948
MN,2009,1,-0.199802807
MN,2009,2,1.561919791
MN,2009,3,-0.919347754
MN,2009,4,-0.42377556
MN,2010,1,-0.133140154
MN,2010,2,1.363192802
MN,2010,3,-0.381578061
MN,2010,4,0
MN,2011,1,0
MN,2011,2,0
MN,2011,3,0
MN,2011,4,0
MN,2012,1,0
MN,2012,2,0
MN,2012,3,0
MN,2012,4,0
MN,2013,1,0
MN,2013,2,0
MN,2013,3,0
MN,2013,4,0
MN,2014,1,0
MN,2014,2,0
MN,2014,3,0
MN,2014,4,0
MN,2015,1,0
MN,2015,2,0
MN,2015,3,0
MN,2015,4,0
MN,2016,1,0
MN,2016,2,0
MN,2016,3,0
MN,2016,4,0
MN,2017,1,0
MN,2017,2,0
MN,2017,3,0
MN,2017,4,0
MN,2018,1,0
MN,2018,2,0
MN,2018,3,0
MN,2018,4,0
MN,2019,1,0
MN,2019,2,0
MN,2019,3,0
MN,2019,4,0
MN,2020,1,0
MN,2020,2,0
MN,2020,3,0
MN,2020,4,0.45442524
MN,2021,1,0
MN,2021,2,0
MN,2021,3,0
MN,2021,4,0
RN,1981,1,0
RN,1981,2,0
RN,1981,3,0
RN,1981,4,0
RN,1982,1,0
RN,1982,2,0
RN,1982,3,0
RN,1982,4,0
RN,1983,1,0
RN,1983,2,0
RN,1983,3,0
RN,1983,4,0
RN,1984,1,0
RN,1984,2,0
RN,1984,3,0
RN,1984,4,1.177217546
RN,1985,1,0.885736982
RN,1985,2,0.566052166
RN,1985,3,-0.09495386
RN,1985,4,0.092451323
RN,1986,1,-0.498026216
RN,1986,2,0.254230759
RN,1986,3,0.76946544
RN,1986,4,-0.396455336
RN,1987,1,0.675372059
RN,1987,2,0.20135472
RN,1987,3,0.156571965
RN,1987,4,0.316334851
RN,1988,1,-0.327370073
RN,1988,2,-0.257225234
RN,1988,3,-0.595656364
RN,1988,4,0.635929393
RN,1989,1,-0.693356232
RN,1989,2,-0.037190034
RN,1989,3,-0.613798604
RN,1989,4,-0.576201982
RN,1990,1,-0.382663539
RN,1990,2,0.163687626
RN,1990,3,-0.191474446
RN,1990,4,-0.564778599
RN,1991,1,0.040195492
RN,1991,2,-0.68737405
RN,1991,3,0.40905447
RN,1991,4,0.028020972
RN,1992,1,0.105104581
RN,1992,2,0.168985429
RN,1992,3,-0.035696347
RN,1992,4,-0.427811347
RN,1993,1,0.008797695
RN,1993,2,0.250511719
RN,1993,3,0.103897987
RN,1993,4,-0.272301741
RN,1994,1,-0.583758407
RN,1994,2,0.07815933
RN,1994,3,0.370205425
RN,1994,4,-0.306816091
RN,1995,1,0.631299392
RN,1995,2,-0.371403512
RN,1995,3,-0.281137077
RN,1995,4,0.661311845
RN,1996,1,-0.555304699
RN,1996,2,-0.483378566
RN,1996,3,-0.730067549
RN,1996,4,-0.373633705
RN,1997,1,0.276643893
RN,1997,2,0.340578278
RN,1997,3,-0.428060472
RN,1997,4,0.439386712
RN,1998,1,-0.212241175
RN,1998,2,0.299882923
RN,1998,3,-0.568924604
RN,1998,4,-0.108011362
RN,1999,1,-0.198599361
RN,1999,2,-0.585265687
RN,1999,3,0.557791446
RN,1999,4,-0.686599557
RN,2000,1,-0.528484585
RN,2000,2,-0.154510298
RN,2000,3,-0.026531686
RN,2000,4,-0.68475643
RN,2001,1,-0.222244761
RN,2001,2,-0.830596451
RN,2001,3,0.002148806
RN,2001,4,0.351845001
RN,2002,1,-0.415821718
RN,2002,2,-0.694488663
RN,2002,3,-0.161187016
RN,2002,4,-0.272301741
RN,2003,1,-0.118356093
RN,2003,2,0.14412521
